source,target,experimental_score
0610010F05Rik,Nicn1,0.169
0610010K14Rik,Bptf,0.077
0610010K14Rik,Hmgxb4,0.121
0610010K14Rik,Nanog,0.292
0610010K14Rik,Pou5f1,0.292
0610010K14Rik,Smarca1,0.055
0610010K14Rik,Smarca5,0.055
1110004F10Rik,Mbtps1,0.222
1110008P14Rik,Atp6v1d,0.271
1110032A03Rik,Tekt4,0.209
1110051M20Rik,Tpgs2,0.166
1700019N19Rik,Ccnb1ip1,0.23
1700021F07Rik,Ccnb1ip1,0.23
1700037H04Rik,Ppp1r7,0.325
1700094D03Rik,Nme7,0.379
1700123L14Rik,Kpna1,0.391
1700123L14Rik,Kpna6,0.207
1700123L14Rik,Kpnb1,0.074
1700123L14Rik,Nup153,0.259
1700123L14Rik,Nup43,0.073
1700123L14Rik,Ran,0.222
1810037I17Rik,Hmga2,0.292
1810046K07Rik,Traf6,0.164
2300002M23Rik,Ncor2,0.108
2310011J03Rik,Baiap2,0.237
2310022A10Rik,Foxp3,0.292
2510039O18Rik,Atp6ap1,0.241
2510039O18Rik,Atp6v0d1,0.152
2510039O18Rik,Atp6v0d2,0.152
2610301B20Rik,Ndn,0.23
2700049A03Rik,Cep120,0.292
2810004N23Rik,Nat10,0.355
2810004N23Rik,Utp3,0.332
4833439L19Rik,Snca,0.222
4930505A04Rik,Sh3bp4,0.222
4931428L18Rik,Ddx39b,0.155
4931428L18Rik,Ncbp1,0.08
4931428L18Rik,Nxf1,0.098
4931428L18Rik,Nxf2,0.098
4931428L18Rik,Nxf7,0.098
4931428L18Rik,Sarnp,0.058
4931428L18Rik,Srrm1,0.059
4931428L18Rik,Thoc1,0.058
4931428L18Rik,Thoc2,0.124
4931428L18Rik,Thoc2l,0.124
4931428L18Rik,Zc3h13,0.1
4932438A13Rik,B9d1,0.292
4933400A11Rik,Acta1,0.123
4933400A11Rik,Acta2,0.123
4933400A11Rik,Actc1,0.123
4933400A11Rik,Actr10,0.347
4933400A11Rik,Actr1a,0.383
4933400A11Rik,Actr3b,0.059
4933400A11Rik,Capza2,0.223
4933400A11Rik,Capzb,0.44
4933400A11Rik,Carmil1,0.242
4933400A11Rik,Cd2ap,0.277
4933400A11Rik,Dctn1,0.384
4933400A11Rik,Dctn2,0.384
4933400A11Rik,Dctn3,0.314
4933400A11Rik,Dctn4,0.383
4933400A11Rik,Dctn5,0.371
4933400A11Rik,Dctn6,0.349
4933400A11Rik,Dync1h1,0.207
4933400A11Rik,Dync1i2,0.207
4933400A11Rik,Dync1li2,0.207
4933400A11Rik,Mtpn,0.335
4933400A11Rik,Sh3kbp1,0.277
4933400A11Rik,Twf1,0.357
4933400A11Rik,Twf2,0.302
4933427D14Rik,Ccdc14,0.059
6430548M08Rik,App,0.222
6430548M08Rik,Ints4,0.222
8030462N17Rik,Csnk2a2,0.3
8030462N17Rik,Shmt1,0.222
8030462N17Rik,Srpk2,0.222
8030462N17Rik,Zranb2,0.324
9930104L06Rik,Cinp,0.136
A2m,Arl8b,0.421
A2m,Atp6v1a,0.328
A2m,Glb1,0.323
A2m,Prdx2,0.222
A830018L16Rik,Mcm7,0.222
Aaas,Ahctf1,0.267
Aaas,Gm49336,0.267
Aaas,Ndc1,0.561
Aaas,Nup107,0.382
Aaas,Nup133,0.334
Aaas,Nup155,0.425
Aaas,Nup160,0.267
Aaas,Nup188,0.409
Aaas,Nup205,0.409
Aaas,Nup210,0.267
Aaas,Nup214,0.485
Aaas,Nup35,0.322
Aaas,Nup37,0.267
Aaas,Nup43,0.267
Aaas,Nup54,0.409
Aaas,Nup62,0.157
Aaas,Nup85,0.267
Aaas,Nup88,0.267
Aaas,Nup93,0.409
Aaas,Nup98,0.267
Aaas,Nupl2,0.573
Aaas,Pom121,0.121
Aaas,Ranbp2,0.332
Aaas,Sec13,0.421
Aaas,Seh1l,0.567
Aaas,Senp2,0.222
Aacs,Fasn,0.329
Aacs,Hmga2,0.292
Aagab,Med21,0.292
Aak1,Ap1b1,0.198
Aak1,Ap2a1,0.122
Aak1,Ap2b1,0.198
Aak1,Ap2m1,0.442
Aak1,Ap2s1,0.238
Aak1,Clint1,0.059
Aak1,Cltc,0.079
Aak1,Eps15,0.086
Aak1,Eps15l1,0.283
Aak1,Foxp3,0.292
Aak1,Gak,0.051
Aak1,Mea1,0.322
Aak1,Necap1,0.277
Aak1,Necap2,0.074
Aak1,Numb,0.325
Aak1,Picalm,0.122
Aak1,Ralbp1,0.236
Aak1,Reps1,0.411
Aak1,Reps2,0.165
Aak1,Snap91,0.122
Aamdc,Acy3,0.452
Aamdc,Gorasp2,0.329
Aamp,Rpl10,0.393
Aamp,Rpl10l,0.393
Aanat,Ywhaz,0.12
Aar2,Cd2bp2,0.243
Aar2,Ecd,0.318
Aar2,Eef2,0.152
Aar2,Eftud2,0.379
Aar2,Ncdn,0.075
Aar2,Prpf8,0.808
Aar2,Snrnp200,0.237
Aar2,Snrpn,0.207
Aar2,Tssc4,0.291
Aar2,Znhit2,0.075
Aars,Arpc1b,0.296
Aars,Cacybp,0.222
Aars,Calu,0.272
Aars,Dpp8,0.329
Aars,Dpp9,0.329
Aars,Eed,0.292
Aars,Eef1b2,0.212
Aars,Eif4a3,0.211
Aars,Hsp90aa1,0.209
Aars,Isg15,0.206
Aars,Nif3l1,0.313
Aars,Ppp2r5e,0.253
Aars,Sae1,0.238
Aars,Srp9,0.241
Aars,Tpd52,0.324
Aars,Tpd52l2,0.263
Aars,Wars,0.222
Aars2,Nars,0.222
Aars2,Ywhaq,0.222
Aarsd1,Arpc1a,0.222
Aarsd1,Arpc5,0.222
Aarsd1,Crat,0.222
Aarsd1,Dnm3,0.222
Aarsd1,Eipr1,0.222
Aarsd1,Gna13,0.222
Aarsd1,Gnb5,0.222
Aarsd1,Hars,0.222
Aarsd1,Lap3,0.222
Aarsd1,Nif3l1,0.222
Aarsd1,Pfdn5,0.307
Aarsd1,Rprd1b,0.222
Aarsd1,Rpusd2,0.241
Aarsd1,Sh3glb2,0.238
Aarsd1,Thg1l,0.329
Aarsd1,Ubqln2,0.208
Aarsd1,Wsb2,0.231
Aasdhppt,Fasn,0.399
Aatf,Abt1,0.312
Aatf,Bms1,0.737
Aatf,Bysl,0.71
Aatf,Cebpz,0.258
Aatf,Dcaf13,0.791
Aatf,Ddx27,0.253
Aatf,Emg1,0.737
Aatf,Esf1,0.422
Aatf,Fbl,0.468
Aatf,Foxp3,0.292
Aatf,Gar1,0.242
Aatf,Gnl3,0.248
Aatf,Gtpbp4,0.272
Aatf,Heatr1,0.737
Aatf,Imp3,0.79
Aatf,Imp4,0.737
Aatf,Krr1,0.808
Aatf,Lsg1,0.272
Aatf,Maged1,0.292
Aatf,Mphosph10,0.808
Aatf,Nat10,0.808
Aatf,Ngdn,0.808
Aatf,Nhp2,0.244
Aatf,Noc3l,0.248
Aatf,Noc4l,0.737
Aatf,Nol10,0.808
Aatf,Nol11,0.267
Aatf,Nol6,0.808
Aatf,Nol7,0.267
Aatf,Nop14,0.692
Aatf,Nop56,0.743
Aatf,Nop58,0.791
Aatf,Nsun2,0.314
Aatf,Nvl,0.282
Aatf,Pdcd11,0.699
Aatf,Pno1,0.392
Aatf,Pwp2,0.786
Aatf,Rbm28,0.329
Aatf,Rcl1,0.787
Aatf,Riok1,0.3
Aatf,Rpl4,0.383
Aatf,Rpp30,0.242
Aatf,Rps11,0.675
Aatf,Rps13,0.737
Aatf,Rps14,0.444
Aatf,Rps15a,0.441
Aatf,Rps16,0.675
Aatf,Rps18,0.388
Aatf,Rps18-ps5,0.388
Aatf,Rps24,0.691
Aatf,Rps27a,0.267
Aatf,Rps28,0.675
Aatf,Rps3a1,0.712
Aatf,Rps4x,0.441
Aatf,Rps5,0.737
Aatf,Rps6,0.713
Aatf,Rps7,0.675
Aatf,Rps8,0.71
Aatf,Rps9,0.675
Aatf,Rrp1,0.263
Aatf,Rrp12,0.258
Aatf,Rrp9,0.737
Aatf,Surf6,0.329
Aatf,Tbl3,0.808
Aatf,Utp11,0.808
Aatf,Utp15,0.737
Aatf,Utp18,0.808
Aatf,Utp20,0.737
Aatf,Utp4,0.737
Aatf,Wdr3,0.737
Aatf,Wdr36,0.808
Aatf,Wdr46,0.737
Aatf,Wdr6,0.248
Aatf,Wdr75,0.737
Aatk,Stk39,0.23
Abat,Aldh5a1,0.222
Abat,Bag3,0.222
Abca1,Abca12,0.201
Abca12,Abca1,0.201
Abca12,Nr1h2,0.201
Abca5,Abca6,0.318
Abca6,Dntt,0.323
Abca6,Qdpr,0.222
Abca6,Spef2,0.323
Abca7,B9d1,0.292
Abca8b,Nphp4,0.292
Abcb1a,Abcb4,0.411
Abcb1b,Abcb4,0.411
Abcb4,Abcb1a,0.411
Abcb4,Abcb1b,0.411
Abcb5,Kcnj11,0.074
Abcb6,Birc2,0.329
Abcb6,Dzip3,0.329
Abcb6,Irak2,0.323
Abcb6,Rlim,0.363
Abcb6,Tsg101,0.329
Abcb7,Unk,0.292
Abcc1,Npc1,0.318
Abcc2,Slc9a3r1,0.056
Abcc4,Snx27,0.292
Abcc5,Insr,0.222
Abcc8,Ank2,0.292
Abcc8,Kcnj11,0.858
Abcc8,Kcnj8,0.335
Abcc9,Ep300,0.243
Abcc9,Kcnj11,0.478
Abcc9,Tgs1,0.452
Abcd1,Abcd2,0.292
Abcd1,Abcd3,0.457
Abcd1,Pex19,0.045
Abcd2,Abcd1,0.292
Abcd2,Abcd3,0.457
Abcd2,Pex19,0.045
Abcd3,Abcd1,0.457
Abcd3,Abcd2,0.457
Abcd3,Eed,0.292
Abcd3,Pex19,0.058
Abcd3,Rad51,0.204
Abcd3,Unk,0.292
Abce1,Abcf2,0.329
Abce1,Ddx27,0.242
Abce1,Eed,0.292
Abce1,Eif1,0.401
Abce1,Eif1b,0.401
Abce1,Eif2s1,0.381
Abce1,Eif2s2,0.267
Abce1,Eif3a,0.702
Abce1,Eif3b,0.598
Abce1,Eif3c,0.712
Abce1,Eif3d,0.489
Abce1,Eif3e,0.512
Abce1,Eif3f,0.41
Abce1,Eif3g,0.518
Abce1,Eif3h,0.512
Abce1,Eif3i,0.571
Abce1,Eif3j1,0.441
Abce1,Eif3j2,0.441
Abce1,Eif3l,0.406
Abce1,Eif5,0.434
Abce1,Etf1,0.692
Abce1,Gnl3,0.242
Abce1,Gtpbp4,0.242
Abce1,Hmga2,0.292
Abce1,Imp3,0.567
Abce1,Impdh1,0.234
Abce1,Lsg1,0.329
Abce1,LTO1,0.35
Abce1,Mrto4,0.406
Abce1,Noc3l,0.329
Abce1,Nsun2,0.307
Abce1,Pa2g4,0.267
Abce1,Pdcd11,0.292
Abce1,Pelo,0.399
Abce1,Psmd14,0.202
Abce1,Psmd7,0.202
Abce1,Pwp2,0.248
Abce1,Rack1,0.609
Abce1,Rad23b,0.165
Abce1,Rpl10,0.229
Abce1,Rpl10a,0.267
Abce1,Rpl10l,0.229
Abce1,Rpl12,0.554
Abce1,Rpl13,0.349
Abce1,Rpl13a,0.38
Abce1,Rpl14,0.267
Abce1,Rpl18a,0.267
Abce1,Rpl21,0.355
Abce1,Rpl27,0.267
Abce1,Rpl3,0.267
Abce1,Rpl32,0.355
Abce1,Rpl35a,0.441
Abce1,Rpl3l,0.259
Abce1,Rpl4,0.424
Abce1,Rpl7,0.332
Abce1,Rpl7a,0.386
Abce1,Rpl8,0.349
Abce1,Rplp0,0.635
Abce1,Rplp1,0.38
Abce1,Rps12,0.61
Abce1,Rps15a,0.409
Abce1,Rps16,0.591
Abce1,Rps17,0.267
Abce1,Rps25,0.603
Abce1,Rps27,0.381
Abce1,Rps27rt,0.381
Abce1,Rps29,0.585
Abce1,Rps3a1,0.667
Abce1,Rps4x,0.518
Abce1,Rps7,0.583
Abce1,Rps8,0.59
Abce1,Svs3a,0.24
Abce1,Svs3b,0.24
Abce1,Ubc,0.203
Abce1,Ubqln1,0.165
Abce1,Ubqln2,0.165
Abce1,Ubqln4,0.165
Abce1,Ubqlnl,0.165
Abce1,Wdr6,0.303
Abce1,Yae1d1,0.322
Abcf1,Edc4,0.222
Abcf1,Eed,0.292
Abcf1,Eef1g,0.206
Abcf1,Gcn1,0.123
Abcf1,Hmgb2,0.292
Abcf1,Hnrnpm,0.222
Abcf1,Ifi204,0.292
Abcf1,Imp3,0.327
Abcf1,Med1,0.244
Abcf1,Rpl6,0.058
Abcf1,Rpl7,0.245
Abcf1,Rpl8,0.27
Abcf1,Set,0.292
Abcf2,Abce1,0.329
Abcf2,Dcaf13,0.329
Abcf2,Eed,0.292
Abcf2,Eef1g,0.206
Abcf2,Eif5b,0.16
Abcf2,Eif6,0.355
Abcf2,Gcn1,0.123
Abcf2,Gm2000,0.327
Abcf2,Hmga2,0.292
Abcf2,Imp3,0.327
Abcf2,Lsg1,0.341
Abcf2,Nanog,0.292
Abcf2,Noc3l,0.328
Abcf2,Nsun2,0.242
Abcf2,Pwp2,0.329
Abcf2,Rpl10,0.207
Abcf2,Rpl11,0.395
Abcf2,Rpl12,0.247
Abcf2,Rpl13a,0.244
Abcf2,Rpl14,0.258
Abcf2,Rpl15,0.207
Abcf2,Rpl17,0.27
Abcf2,Rpl18a,0.236
Abcf2,Rpl23a,0.395
Abcf2,Rpl26,0.327
Abcf2,Rpl27a,0.337
Abcf2,Rpl3,0.27
Abcf2,Rpl35,0.327
Abcf2,Rpl35a,0.207
Abcf2,Rpl38,0.267
Abcf2,Rpl3l,0.27
Abcf2,Rpl4,0.27
Abcf2,Rpl6,0.356
Abcf2,Rpl7,0.245
Abcf2,Rpl7a,0.241
Abcf2,Rpl8,0.27
Abcf2,Rplp0,0.302
Abcf2,Rps11,0.395
Abcf2,Rps14,0.27
Abcf2,Rps15a,0.27
Abcf2,Rps16,0.27
Abcf2,Rps18,0.27
Abcf2,Rps18-ps5,0.27
Abcf2,Rps2,0.327
Abcf2,Rps3,0.395
Abcf2,Wdr6,0.329
Abcf3,Eed,0.292
Abcf3,Gcn1,0.35
Abcf3,Rack1,0.183
Abcg1,Abcg5,0.171
Abcg5,Abcg1,0.171
Abcg5,Abcg8,0.559
Abcg8,Abcg5,0.559
Abhd16a,Upf1,0.222
Abhd17a,Ehmt2,0.222
Abhd5,Plin1,0.483
Abhd5,Plin2,0.292
Abhd5,Pnpla2,0.483
Abi1,Abi2,0.342
Abi1,Abl1,0.295
Abi1,Abl2,0.352
Abi1,Brk1,0.637
Abi1,Cblb,0.163
Abi1,Cyfip1,0.533
Abi1,Cyfip2,0.556
Abi1,Diaph3,0.292
Abi1,Dlgap4,0.164
Abi1,Eps8,0.457
Abi1,Eps8l2,0.222
Abi1,Evl,0.3
Abi1,Mink1,0.418
Abi1,Mrfap1,0.328
Abi1,Ncf1,0.164
Abi1,Nck2,0.23
Abi1,Nckap1,0.539
Abi1,Nckap1l,0.363
Abi1,Pacsin2,0.164
Abi1,Prex1,0.164
Abi1,Prpf40a,0.164
Abi1,Prrc2a,0.164
Abi1,Rac1,0.075
Abi1,Raph1,0.122
Abi1,Rbm3,0.164
Abi1,Shank3,0.206
Abi1,Sos1,0.443
Abi1,Sos2,0.292
Abi1,Stx4a,0.164
Abi1,Syne2,0.21
Abi1,Tcerg1,0.329
Abi1,Tpm1,0.164
Abi1,Was,0.076
Abi1,Wasf1,0.408
Abi1,Wasf2,0.545
Abi1,Wasf3,0.154
Abi1,Wasl,0.076
Abi1,Wipf2,0.329
Abi2,Abi1,0.342
Abi2,Appl2,0.222
Abi2,Baiap2,0.094
Abi2,Brk1,0.688
Abi2,Cyfip1,0.651
Abi2,Cyfip2,0.271
Abi2,Eif3h,0.206
Abi2,Eps8,0.292
Abi2,Etl4,0.222
Abi2,Homer3,0.222
Abi2,Mrfap1,0.328
Abi2,Nckap1,0.711
Abi2,Nckap1l,0.281
Abi2,Ppif,0.222
Abi2,Raph1,0.122
Abi2,Stam2,0.222
Abi2,Vars2,0.222
Abi2,Vps37c,0.222
Abi2,Wasf1,0.691
Abi2,Wasf2,0.472
Abi2,Wasf3,0.154
Abi2,Wasl,0.076
Abi3,Actn3,0.222
Abi3,Cyfip1,0.165
Abi3,Cyfip2,0.165
Abi3,Kank2,0.222
Abi3,Wasf1,0.139
Abi3,Wasf2,0.139
Abitram,Pus10,0.301
Abl1,Abi1,0.295
Abl1,Abi2,0.122
Abl1,Asrgl1,0.292
Abl1,Cbl,0.459
Abl1,Cish,0.292
Abl1,Crk,0.459
Abl1,Crkl,0.375
Abl1,Dok1,0.47
Abl1,Dok2,0.292
Abl1,Dok3,0.292
Abl1,Enah,0.292
Abl1,Epha4,0.23
Abl1,Fmn1,0.292
Abl1,Hsp90aa1,0.048
Abl1,Hsp90ab1,0.048
Abl1,Inpp5d,0.457
Abl1,Itgb1,0.292
Abl1,Kat5,0.292
Abl1,Nck1,0.457
Abl1,Pparg,0.292
Abl1,Prkn,0.292
Abl1,Pstpip1,0.292
Abl1,Ptpn11,0.292
Abl1,Pxn,0.292
Abl1,Rad51,0.057
Abl1,Rapgef1,0.292
Abl1,Rasa1,0.292
Abl1,Rin1,0.299
Abl1,Sh3bp1,0.236
Abl1,Sh3bp2,0.236
Abl1,Snca,0.457
Abl1,Ywhaq,0.054
Abl2,Abi1,0.352
Abl2,Abi2,0.122
Abl2,Axl,0.292
Abl2,Crk,0.267
Abl2,Ephb2,0.23
Abl2,Rin1,0.051
Ablim1,Dlg4,0.457
Ablim1,Eed,0.292
Ablim2,Acta1,0.222
Abr,Cep76,0.222
Abr,Dlg4,0.236
Abr,Rac1,0.292
Abraxas1,Babam1,0.9
Abraxas1,Babam2,0.9
Abraxas1,Bard1,0.204
Abraxas1,Brca1,0.204
Abraxas1,Brcc3,0.929
Abraxas1,Gm5136,0.315
Abraxas1,Uimc1,0.9
Abraxas2,Atf4,0.292
Abraxas2,Atf5,0.23
Abraxas2,Babam1,0.583
Abraxas2,Babam2,0.689
Abraxas2,Brcc3,0.661
Abraxas2,Cops3,0.304
Abraxas2,Cops6,0.207
Abraxas2,Cops7a,0.315
Abraxas2,Cops8,0.217
Abraxas2,Gm5136,0.385
Abraxas2,Grb2,0.207
Abraxas2,Hnrnpa2b1,0.213
Abraxas2,Huwe1,0.222
Abraxas2,Jund,0.23
Abraxas2,Psmd14,0.21
Abraxas2,Shmt1,0.327
Abraxas2,Shmt2,0.559
Abraxas2,Spag9,0.222
Abraxas2,Ubc,0.23
Abraxas2,Usp7,0.222
Abt1,Aatf,0.312
Abt1,Bysl,0.243
Abt1,Ddx10,0.239
Abt1,Ddx18,0.204
Abt1,Ddx47,0.327
Abt1,Ddx49,0.204
Abt1,Dhx15,0.204
Abt1,Eif4a1,0.053
Abt1,Eif4a2,0.053
Abt1,Esf1,0.204
Abt1,Ftsj3,0.329
Abt1,Ighmbp2,0.292
Abt1,Krr1,0.247
Abt1,Nop14,0.36
Abt1,Nop58,0.329
Abt1,Rrp12,0.329
Abt1,Utp11,0.303
Abt1,Utp14b,0.329
Abt1,Utp18,0.443
Abt1,Wdr3,0.204
Abt1,Wdr36,0.165
Abt1,Wdr43,0.215
Abtb1,Cul3,0.108
Abtb1,Dmrtc2,0.192
Abtb1,Vars,0.28
Abtb2,Dntt,0.222
Acaa1a,Acot8,0.329
Acaa1a,Acox1,0.222
Acaa1a,Acsl1,0.323
Acaa1a,Auh,0.122
Acaa1a,Cdyl,0.122
Acaa1a,Cryl1,0.219
Acaa1a,Echs1,0.122
Acaa1a,Eci2,0.124
Acaa1a,Eci3,0.124
Acaa1a,Hadh,0.219
Acaa1a,Hadha,0.122
Acaa1a,Hibch,0.122
Acaa1a,Hmga2,0.292
Acaa1a,Hmgcs1,0.215
Acaa1a,Hmgcs2,0.215
Acaa1a,Pex7,0.41
Acaa1b,Auh,0.122
Acaa1b,Cdyl,0.122
Acaa1b,Cryl1,0.219
Acaa1b,Echs1,0.122
Acaa1b,Eci2,0.124
Acaa1b,Eci3,0.124
Acaa1b,Hadh,0.219
Acaa1b,Hadha,0.122
Acaa1b,Hibch,0.122
Acaa1b,Hmgcs1,0.215
Acaa1b,Hmgcs2,0.215
Acaa1b,Pex7,0.41
Acaa2,Acadl,0.323
Acaa2,Acadm,0.329
Acaa2,Acads,0.321
Acaa2,Acadvl,0.326
Acaa2,Aldh9a1,0.222
Acaa2,Auh,0.122
Acaa2,Cpt2,0.327
Acaa2,Crat,0.329
Acaa2,Echs1,0.343
Acaa2,Eci1,0.383
Acaa2,Eci2,0.124
Acaa2,Eci3,0.124
Acaa2,Hadh,0.219
Acaa2,Hadha,0.386
Acaa2,Hibch,0.122
Acaa2,Hmgcs1,0.215
Acaa2,Hmgcs2,0.215
Acaa2,Iqcb1,0.292
Acaa2,Kcnma1,0.292
Acaa2,Lamtor5,0.222
Acaa2,Nphp4,0.292
Acaa2,Rpgrip1l,0.292
Acaa2,Scp2,0.222
Acaa2,Suclg1,0.209
Acaca,Atp6v1a,0.164
Acaca,Brca1,0.674
Acaca,Eed,0.292
Acaca,Mid1ip1,0.292
Acaca,Rpgrip1l,0.292
Acacb,Foxp3,0.292
Acad11,Cat,0.325
Acad11,Hadhb,0.329
Acad11,Nsfl1c,0.204
Acad11,Ubxn7,0.247
Acad8,Med13,0.222
Acad8,Tsg101,0.222
Acad9,Atp5d,0.308
Acad9,Atp5h,0.308
Acad9,Atp5l,0.308
Acad9,Atp5pb,0.263
Acad9,Dbt,0.158
Acad9,Ecsit,0.361
Acad9,Mrpl58,0.208
Acad9,mt-Nd6,0.204
Acad9,Ndufa13,0.204
Acad9,Ndufaf1,0.204
Acad9,Ndufaf3,0.204
Acad9,Ndufs2,0.204
Acad9,Ndufs3,0.204
Acad9,Ndufs5,0.204
Acad9,Ndufs7,0.204
Acad9,Pdss1,0.158
Acad9,Pdss2,0.058
Acad9,Timmdc1,0.204
Acad9,Tmem126b,0.204
Acad9,Vdac3,0.329
Acadl,Acaa2,0.323
Acadl,Acadm,0.325
Acadl,Acads,0.319
Acadl,Acadvl,0.323
Acadl,Cpt2,0.323
Acadl,Eci1,0.323
Acadl,Hadh,0.329
Acadl,Hadha,0.326
Acadl,Hadhb,0.325
Acadl,Htt,0.292
Acadm,Acaa2,0.329
Acadm,Acad11,0.329
Acadm,Acadl,0.325
Acadm,Acads,0.324
Acadm,Acadvl,0.326
Acadm,Adh5,0.329
Acadm,Cpt2,0.329
Acadm,Decr1,0.327
Acadm,Dmgdh,0.093
Acadm,Echs1,0.258
Acadm,Eci1,0.326
Acadm,Hadh,0.329
Acadm,Hadha,0.329
Acadm,Hadhb,0.329
Acadm,Hibch,0.327
Acadm,Sardh,0.093
Acads,Acaa2,0.321
Acads,Acadl,0.319
Acads,Acadm,0.324
Acads,Acadvl,0.323
Acads,Crat,0.329
Acads,Echs1,0.329
Acadvl,Acaa2,0.326
Acadvl,Acadl,0.323
Acadvl,Acadm,0.326
Acadvl,Acads,0.323
Acadvl,Cpt2,0.326
Acadvl,Crat,0.329
Acadvl,Decr1,0.327
Acadvl,Denr,0.222
Acadvl,Echs1,0.296
Acadvl,Eci1,0.325
Acadvl,Ecsit,0.076
Acadvl,Hadh,0.329
Acadvl,Hadha,0.329
Acadvl,Hadhb,0.327
Acadvl,Hibch,0.121
Acadvl,Metap2,0.222
Acadvl,Mrpl58,0.215
Acadvl,Socs3,0.292
Acat1,Echs1,0.122
Acat1,Eci1,0.122
Acat1,Hadh,0.219
Acat1,Hadha,0.122
Acat1,Hibch,0.122
Acat1,Hmgcs1,0.215
Acat1,Hmgcs2,0.215
Acat1,Pdp1,0.292
Acat1,Pex7,0.239
Acat1,Unk,0.292
Acat2,Ehhadh,0.122
Acat2,Hadha,0.122
Acat2,Hexa,0.222
Acat2,Hmgcs1,0.215
Acat2,Hmgcs2,0.215
Acat2,Uba3,0.222
Acat3,Ehhadh,0.122
Acat3,Hadha,0.122
Acat3,Hmgcs1,0.215
Acat3,Hmgcs2,0.215
Acbd3,Blzf1,0.153
Acbd3,Eftud2,0.21
Acbd3,Golga3,0.222
Acbd3,Gorasp2,0.222
Acbd3,Gtf2e1,0.222
Acbd3,Hars,0.222
Acbd3,Pi4kb,0.587
Acbd3,Tbcd,0.222
Acbd6,Nmt1,0.151
Acbd6,Nmt2,0.151
Acd,Pot1a,0.653
Acd,Pot1b,0.653
Acd,Stn1,0.292
Acd,Terf1,0.343
Acd,Terf2,0.532
Acd,Terf2ip,0.343
Acd,Tert,0.443
Acd,Tinf2,0.674
Ace,Macroh2a1,0.222
Ace,Myh9,0.292
Ace,Tmf1,0.222
Ace2,Slc6a19,0.561
Ache,App,0.154
Ache,Canx,0.222
Acin1,Alyref,0.099
Acin1,Alyref2,0.099
Acin1,Api5,0.059
Acin1,Ddx17,0.05
Acin1,Ddx39b,0.131
Acin1,Ddx41,0.122
Acin1,Ddx46,0.05
Acin1,Eif4a3,0.248
Acin1,Eif4a3l1,0.248
Acin1,Eif4a3l2,0.248
Acin1,Foxp3,0.292
Acin1,Hdac6,0.222
Acin1,Magoh,0.205
Acin1,Pnn,0.309
Acin1,Pou5f1,0.292
Acin1,Prpf40a,0.061
Acin1,Rbm8a,0.121
Acin1,Rbm8a2,0.121
Acin1,Rnps1,0.389
Acin1,Sap18,0.377
Acin1,Sap18b,0.377
Acin1,Snrnp200,0.071
Acin1,Srrm1,0.299
Acin1,Srrm2,0.203
Ackr3,Arrb2,0.9
Ackr3,Cxcr4,0.203
Acly,Cs,0.244
Acly,Csl,0.244
Acly,Eed,0.292
Acly,Fasn,0.222
Acly,Htt,0.292
Acly,Kpna2,0.248
Acly,Kpna4,0.303
Acly,Mef2c,0.164
Acly,Ppp6c,0.3
Acly,Prmt1,0.222
Acly,Srrt,0.248
Acly,Suclg1,0.395
Acly,Trap1,0.222
Aco1,Dcps,0.222
Aco1,Fbxl5,0.303
Aco1,Fubp1,0.307
Aco1,Nphp4,0.292
Aco1,Psmg1,0.371
Aco1,Strap,0.222
Aco2,Atp5a1,0.228
Aco2,Atp5c1,0.309
Aco2,Atp5h,0.314
Aco2,Atp5pb,0.31
Aco2,Chchd3,0.31
Aco2,Cluh,0.292
Aco2,Cyc1,0.303
Aco2,Dlat,0.3
Aco2,Dld,0.287
Aco2,Dlst,0.287
Aco2,Gm10053,0.306
Aco2,Got2,0.272
Aco2,Idh3a,0.263
Aco2,Idh3g,0.258
Aco2,Itpr1,0.292
Aco2,Kcnma1,0.292
Aco2,Mdh2,0.304
Aco2,Ndufb10,0.229
Aco2,Ndufs4,0.303
Aco2,Ogdh,0.31
Aco2,Pfkm,0.223
Aco2,Rpl11,0.292
Aco2,Rpl23,0.398
Aco2,Rps11,0.292
Aco2,Rps13,0.204
Aco2,Rps14,0.198
Aco2,Rps15a,0.275
Aco2,Rps18,0.294
Aco2,Rps18-ps5,0.294
Aco2,Rps2,0.221
Aco2,Rps20,0.221
Aco2,Rps5,0.302
Aco2,Rps9,0.398
Aco2,Rpsa,0.166
Aco2,Slc25a11,0.306
Aco2,Slc25a4,0.313
Aco2,Sod2,0.504
Aco2,Suclg1,0.296
Aco2,Uqcrc1,0.272
Acot13,Ndufs3,0.222
Acot7,Acsbg1,0.222
Acot7,Aldh9a1,0.222
Acot7,Brca1,0.292
Acot7,Cryab,0.222
Acot7,Nhlrc2,0.328
Acot7,Tnfaip8,0.313
Acot8,Acaa1a,0.329
Acot8,Acsl1,0.328
Acot8,Acsl6,0.324
Acot8,Cat,0.329
Acot8,Crat,0.222
Acot8,Isg15,0.222
Acot8,Nedd8,0.222
Acot9,Grsf1,0.222
Acot9,Mrpl58,0.222
Acot9,Nyap2,0.292
Acox1,Acaa1a,0.222
Acox1,Acad11,0.328
Acox1,Cat,0.326
Acox1,Crat,0.329
Acox1,Ech1,0.242
Acox1,Eci2,0.323
Acox1,Ehhadh,0.328
Acox1,Gpd2,0.222
